step,reward,step_count,lr
1000,1.0,84,0.00029815325108927063
2000,1.0,139,0.00029265847744427303
3000,1.0,152,0.0002836509786282552
4000,1.0,119,0.0002713525491562421
5000,1.0,179,0.0002560660171779821
6000,0.999000072479248,324,0.000238167787843871
7000,1.0,252,0.00021809857496093204
8000,1.0,226,0.00019635254915624216
9000,1.0,287,0.00017346516975603468
10000,1.0,451,0.00015000000000000001
11000,0.999000072479248,339,0.0001265348302439654
12000,1.0,499,0.0001036474508437579
13000,1.0,499,8.190142503906799e-05
14000,1.0,499,6.183221215612905e-05
15000,1.0,499,4.393398282201788e-05
16000,1.0,499,2.86474508437579e-05
17000,1.0,499,1.6349021371744834e-05
18000,1.0,499,7.341522555726972e-06
19000,1.0,499,1.8467489107293517e-06
20000,1.0,499,0.0
